43260	-0.70	724.7	408.29	6.89E-03
43320	-0.48	724.7	408.29	6.78E-03
43380	-0.37	725.0	406.91	5.93E-03
43440	-0.37	725.0	406.91	5.86E-03
43500	-0.42	724.2	408.01	5.66E-03
43560	-0.65	725.0	407.46	5.50E-03
43620	-0.48	725.0	407.19	5.56E-03
43680	-0.48	724.7	406.63	5.62E-03
43740	-0.31	723.9	406.36	5.86E-03
43800	-0.20	723.3	406.08	5.78E-03
43860	-0.37	723.3	404.98	5.63E-03
43920	-0.37	723.3	404.15	5.60E-03
43980	-0.25	722.5	403.87	5.70E-03
44040	-0.42	722.8	404.15	5.93E-03
44100	-0.37	723.1	403.60	6.14E-03
44160	-0.42	723.3	403.05	6.33E-03
44220	-0.42	723.3	403.60	6.93E-03
44280	-0.59	723.6	403.32	8.09E-03
44340	-0.31	724.2	402.22	7.45E-03
44400	-0.20	724.2	400.84	7.89E-03
44460	-0.48	724.4	399.18	8.80E-03
44520	-0.37	724.7	397.80	8.30E-03
44580	-0.31	723.6	397.52	9.01E-03
44640	-0.53	723.6	397.25	8.69E-03
44700	-0.08	723.9	397.25	8.93E-03
44760	-0.14	723.3	397.52	9.39E-03
44820	-0.42	723.3	396.70	9.40E-03
44880	-0.42	723.9	395.59	9.06E-03
44940	-0.31	724.7	395.59	9.21E-03
45000	-0.14	725.0	395.04	9.26E-03
45060	-0.37	724.7	395.04	9.19E-03
45120	-0.03	724.7	395.04	9.11E-03
45180	-0.31	724.4	395.59	8.93E-03
45240	-0.48	725.0	394.49	8.66E-03
45300	-0.42	725.6	392.00	8.48E-03
45360	-0.31	725.8	390.90	7.02E-03
45420	-0.08	726.4	388.41	7.69E-03
45480	-0.42	726.1	387.03	8.85E-03
45540	-0.48	726.1	386.48	9.15E-03
45600	-0.37	726.1	386.21	7.99E-03
45660	-0.42	725.8	386.21	5.45E-03
45720	-0.31	725.3	386.76	7.90E-03
45780	-0.31	725.0	387.59	9.16E-03
45840	-0.37	725.0	387.86	8.94E-03
45900	-0.31	724.4	387.59	7.56E-03
45960	-0.31	723.3	388.14	6.65E-03
46020	-0.42	723.3	388.14	7.95E-03
46080	-0.31	723.6	387.59	7.59E-03
46140	-0.42	724.2	385.65	6.09E-03
46200	-0.53	724.2	384.83	7.50E-03
46260	-0.53	725.0	383.45	5.57E-03
46320	-0.37	724.7	382.62	7.60E-03
46380	-0.08	724.4	381.51	9.02E-03
46440	-0.14	724.7	380.41	9.16E-03
46500	-0.25	724.2	380.41	7.24E-03
46560	-0.42	723.3	380.96	5.63E-03
46620	-0.31	723.3	380.41	7.58E-03
46680	-0.31	723.1	379.03	6.62E-03
46740	-0.20	722.8	378.20	7.50E-03
46800	-0.20	722.2	377.10	8.59E-03
46860	-0.20	722.2	375.99	7.19E-03
46920	-0.20	722.5	376.27	7.57E-03
46980	-0.25	722.8	375.44	4.68E-03
47040	-0.37	722.8	375.16	4.67E-03
47100	-0.42	722.2	375.99	7.26E-03
47160	-0.31	722.2	376.27	8.30E-03
47220	-0.20	723.6	375.44	8.87E-03
47280	-0.14	723.6	374.89	8.74E-03
47340	-0.42	723.3	375.16	8.53E-03
47400	-0.14	723.3	375.16	8.97E-03
47460	0.03	722.2	375.72	8.81E-03
47520	-0.25	722.5	374.34	8.21E-03
47580	-0.20	722.0	373.78	8.80E-03
47640	-0.42	721.7	372.96	8.00E-03
47700	-0.20	720.9	373.23	7.66E-03
47760	-0.37	721.4	372.40	6.09E-03
47820	-0.42	721.7	370.47	5.88E-03
47880	-0.53	720.9	370.75	6.04E-03
47940	-0.42	720.6	370.19	6.14E-03
48000	-0.31	720.0	369.92	7.74E-03
48060	-0.31	720.0	368.81	8.71E-03
48120	-0.25	719.2	369.37	9.06E-03
