| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CO2H3CO3        |            | C4H7O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CO2H3CO3H       |            | C4H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |     1.E6 |          0.1 |          |                   |
| EZCH3CO2CHCHO   |            | C4H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| EZCHOCCH3CHO2   |            | C4H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCCH3CHOOH    |            | C4H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HCOCCH3CO       |            | C4H4O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HCOCO2CH3CHO    |            | C4H5O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HMAC            |            | C4H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.7E3 |          0.1 |          |                   |
| HO12CO3C4       |            | C4H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |     5.E7 |          0.1 |          |                   |
| HVMK            |            | C4H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.7E3 |          0.1 |          |                   |
| IBUTALOH        |            | C4H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| IBUTDIAL        |            | C4H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.7E3 |          0.1 |          |                   |
| IBUTOLBO2       |            | C4H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| IBUTOLBOOH      |            | C4H10O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| IC4H10          |            | C4H10       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| IC4H9O2         |            | C4H9O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| IC4H9OOH        |            | C4H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.1E2 |          0.1 |          |                   |
| IPRCHO          |            | C4H8O       |                      |               |                 |                 |              |                  |                 |           |         |             |   5.9E-1 |          0.1 |          |                   |
| IPRCO3          |            | C4H7O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| IPRHOCO2H       |            | C4H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.2E7 |          0.1 |          |                   |
| IPRHOCO3        |            | C4H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| IPRHOCO3H       |            | C4H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| MACO2           |            | C4H5O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MACO2H          |    79-41-4 | C4H6O6      | 2.58E3  {&1063}      |            0. |                 |                 |              | 2.24E-5 {&3254}  |                 |           |         |             |    5.8E5 |          0.1 |          |                   |
| MACO3           |            | C4H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MACO3H          |            | C4H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.4E3 |          0.1 |          |                   |
| MACR            |            | C4H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    5.0E1 |          0.1 |          |                   |
| MACRO           |            | C4H7O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MACRO2          |            | C4H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MACROH          |            | C4H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |     5.E7 |          0.1 |          |                   |
| MACROOH         |            | C4H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |     5.E7 |          0.1 |          |                   |
| MBOOO           |            | C4H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MEK             |            | C4H8O       |                      |               |                 |                 |              |                  |                 |           |         |             |     2.E1 |          0.1 |          |                   |
| MEPROPENE       |            | C4H8        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MPROPENOL       |            | C4H8O       |                      |               |                 |                 |              |                  |                 |           |         |             |   5.9E-1 |          0.1 |          |                   |
| MVK             |            | C4H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E1 |          0.1 |          |                   |
| NC4H10          |            | C4H10       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PERIBUACID      |            | C4H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.7E2 |          0.1 |          |                   |
| TBUT2ENE        |            | C4H8        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| TC4H9O2         |            | C4H9O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| TC4H9OOH        |            | C4H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |    7.0E1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| BZFUCO          |            | C4H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| BZFUO2          |            | C4H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| BZFUONE         |            | C4H4O2      |                      |               |                 |                 |              |                  |                 |           |         |             |      36. |          0.1 |          |                   |
| BZFUOOH         |            | C4H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| CO14O3CHO       |            | C4H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.6E5 |          0.1 |          |                   |
| CO14O3CO2H      |            | C4H4O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| CO2C4DIAL       |            | C4H2O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| EPXC4DIAL       |            | C4H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.6E5 |          0.1 |          |                   |
| EPXDLCO2H       |            | C4H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| EPXDLCO3        |            | C4H3O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| EPXDLCO3H       |            | C4H4O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| HOCOC4DIAL      |            | C4H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| MALANHY         |            | C4H2O3      |                      |               |                 |                 |              |                  |                 |           |         |             |      36. |          0.1 |          |                   |
| MALANHYO2       |            | C4H3O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MALANHYOOH      |            | C4H4O6      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MALDALCO2H      |            | C4H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| MALDALCO3H      |            | C4H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| MALDIAL         |            | C4H4O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.6E5 |          0.1 |          |                   |
| MALDIALCO3      |            | C4H3O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MALDIALO2       |            | C4H5O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MALDIALOOH      |            | C4H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MALNHYOHCO      |            | C4H2O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MECOACEOOH      |            | C4H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| MECOACETO2      |            | C4H5O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| BUT2OLNO3       |            | C4H9O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    8.8E1 |          0.1 |          |                   |
| C312COPAN       |            | C4H3O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C4PAN5          |            | C4H7O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| IBUTOLBNO3      |            | C4H9O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |    8.8E1 |          0.1 |          |                   |
| IC4H9NO3        |            | C4H9O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |   6.4E-3 |          0.1 |          |                   |
| MACRNO3         |            | C4H7O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| MPAN            |            | C4H5O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |      3.6 |          0.1 |          |                   |
| MVKNO3          |            | C4H7O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| PIPN            |            | C4H7O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |      2.9 |          0.1 |          |                   |
| TC4H9NO3        |            | C4H9O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |   6.4E-3 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| EPXDLPAN        |            | C4H3O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| MALDIALPAN      |            | C4H3O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| NBZFUO2         |            | C4H4O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NBZFUONE        |            | C4H3O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |      20. |          0.1 |          |                   |
| NBZFUOOH        |            | C4H5O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.4E4 |          0.1 |          |                   |
| NC4DCO2H        |            | C4H3O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LBUT1ENO2       |            | C4H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LBUT1ENOOH      |            | C4H10O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| LC4H9O2         |            | C4H9O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LC4H9OOH        |            | C4H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.1E2 |          0.1 |          |                   |
| LHMVKABO2       |            | C4H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LHMVKABOOH      |            | C4H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |     5.E6 |              |          |                   |
| LMEKO2          |            | C4H7O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LMEKOOH         |            | C4H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |     1.E3 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LBUT1ENNO3      |            | C4H9O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    8.8E1 |          0.1 |          |                   |
| LC4H9NO3        |            | C4H9O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |   6.4E-3 |          0.1 |          |                   |
| LMEKNO3         |            | C4H7O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |   0.86E0 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C1ODC2O2C4OD    |            | C5H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C1ODC2O2C4OOH   |            | C5H9O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C1ODC2OOHC4OD   |            | C5H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C1ODC3O2C4OOH   |            | C5H9O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C1OOHC2O2C4OD   |            | C5H9O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C1OOHC2OOHC4OD  |            | C5H10O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C1OOHC3O2C4OD   |            | C5H9O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C4MDIAL         |            | C5H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C511O2          |            | C5H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C511OOH         |            | C5H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C512O2          |            | C5H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C512OOH         |            | C5H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C513CO          |            | C5H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C513O2          |            | C5H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C513OOH         |            | C5H8O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C514O2          |            | C5H7O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C514OOH         |            | C5H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C59O2           |            | C5H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C59OOH          |            | C5H10O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    3.E11 |          0.1 |          |                   |
| C5H8            |            | C5H8        |                      |               |                 |                 |              |                  |                 |           |         |             |     0.01 |          0.0 |          |                   |
| CHOC3COCO3      |            | C5H5O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CHOC3COOOH      |            | C5H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CO13C4CHO       |            | C5H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CO23C4CHO       |            | C5H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CO23C4CO3       |            | C5H5O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CO23C4CO3H      |            | C5H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| DB1O            |            | C5H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| DB1O2           |            | C5H9O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| DB1OOH          |            | C5H10O4     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| DB2O2           |            | C5H9O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| DB2OOH          |            | C5H10O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HCOC5           |            | C5H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.7E2 |          0.1 |          |                   |
| ISOPAOH         |            | C5H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |     4.E6 |          0.1 |          |                   |
| ISOPBO2         |            | C5H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ISOPBOH         |            | C5H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |     3.E6 |          0.1 |          |                   |
| ISOPBOOH        |            | C5H10O3     |                      |               |                 |                 |              |                  |                 |           |         |             |     3.E6 |          0.1 |          |                   |
| ISOPDO2         |            | C5H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ISOPDOH         |            | C5H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |     3.E6 |          0.1 |          |                   |
| ISOPDOOH        |            | C5H10O3     |                      |               |                 |                 |              |                  |                 |           |         |             |     3.E6 |          0.1 |          |                   |
| MBO             |            | C5H10O      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| MBOACO          |            | C5H10O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| MBOCOCO         |            | C5H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| ME3FURAN        |            | C5H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| ACCOMECHO       |            | C5H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.7E3 |          0.1 |          |                   |
| ACCOMECO3       |            | C5H5O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |          0.1 |          |                   |
| ACCOMECO3H      |            | C5H6O6      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| C24O3CCO2H      |            | C5H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    7.4E5 |          0.1 |          |                   |
| C4CO2DBCO3      |            | C5H3O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |          0.1 |          |                   |
| C4CO2DCO3H      |            | C5H4O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| C5134CO2OH      |            | C5H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| C54CO           |            | C5H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.6E5 |          0.1 |          |                   |
| C5CO14O2        |            | C5H5O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C5CO14OH        |            | C5H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.2E3 |          0.1 |          |                   |
| C5CO14OOH       |            | C5H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| C5DIALCO        |            | C5H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| C5DIALO2        |            | C5H5O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C5DIALOOH       |            | C5H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.6E5 |          0.1 |          |                   |
| C5DICARB        |            | C5H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.7E3 |          0.1 |          |                   |
| C5DICARBO2      |            | C5H7O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C5DICAROOH      |            | C5H8O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MC3ODBCO2H      |            | C5H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| MMALANHY        |            | C5H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |      20. |          0.1 |          |                   |
| MMALANHYO2      |            | C5H5O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |          0.1 |          |                   |
| MMALNHYOOH      |            | C5H6O6      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| TLFUO2          |            | C5H7O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| TLFUONE         |            | C5H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.6E1 |          0.1 |          |                   |
| TLFUOOH         |            | C5H8O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C4MCONO3OH      |            | C5H9O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C514NO3         |            | C5H7O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
