| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| NHOH            |            | H2NO        |                      |               |                 |                 |              |                  |                 |           |         |             |          |          0.0 |          |                   |
| NH2O            |            | H2NO        |                      |               |                 |                 |              |                  |                 |           |         |             |          |          0.0 |          |                   |
| NH2OH           |            | H3NO        |                      |               |                 |                 |              |                  |                 |           |         |             |          |          0.0 |          |                   |
| LNITROGEN       |            | N           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CH2OO           |            | CH2O2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2OOA          |            | CH2O2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3             |  2229-07-4 | CH3         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3O            |  2143-68-2 | CH3O        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3O2           |  2143-58-0 | CH3O2       | 6.           {&46}   |         5600. |                 | 0.01    {&SN}   |        2000. |                  |                 |           |         |             |       6. |          1.0 |          |                   |
| CH3OH           |    67-56-1 | CH3OH       | 2.20E2       {&483}  |         5200. |                 |                 |              |                  |                 |           |         |             |    2.2E2 |          0.1 |          |                   |
| CH3OOH          |  3031-73-0 | CH3OOH      | 3.0E2        {&311}  |         5322. |                 | 0.0046  {&844}  |        3273. |                  |                 |           |         |             |     3.E2 |          0.1 |          |                   |
| CH4             |    74-92-8 | CH4         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CO              |   630-08-0 | CO          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CO2             |   124-38-9 | CO2         | 3.4E-2       {&2626} |         2400. |                 | 0.01    {&SN}   |        2000. |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| HCHO            |    50-00-0 | HCHO        | 3.23E3       {&3245} |         7100. |                 | 0.04    {&826}  |              |                  |                 |           |         |             |    3.2E3 |          0.1 |          |                   |
| HCOOH           |    64-18-6 | HCOOH       | 8.9E3        {&3245} |         6100. |                 | 0.014   {&826}  |        3978. | 1.78E-4  {&34}   |                 |           |         |             |    6.7E6 |          0.0 |          |                   |
| HOCH2O2         |            | CH3O3       |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E4 |          1.0 |          |                   |
| HOCH2OH         |            | CH4O2       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.7E6 |          0.1 |          |                   |
| HOCH2OOH        |            | CH4O3       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.7E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CH3NO3          |            | CH3O3N      |                      |               |                 |                 |              |                  |                 |           |         |             |       2. |          0.1 |          |                   |
| CH3O2NO2        |            | CH3O4N      |                      |               |                 |                 |              |                  |                 |           |         |             |       2. |          0.1 |          |                   |
| CH3ONO          |            | CH3O2N      |                      |               |                 |                 |              |                  |                 |           |         |             |       2. |          0.1 |          |                   |
| CN              |            | CN          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCN             |            | CHN         |                      |               |                 |                 |              |                  |                 |           |         |             |      7.6 |          0.1 |          |                   |
| HOCH2O2NO2      |            | CH3O5N      |                      |               |                 |                 |              |                  |                 |           |         |             |       2. |          0.1 |          |                   |
| NCO             |            | CNO         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LCARBON         |            | C           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C2H2            |            | C2H2        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C2H4            |            | C2H4        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C2H5O2          |  3170-61-4 | C2H5O2      | 6.           {&SN}   |         5600. |                 |                 |              |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| C2H5OH          |            | C2H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E2 |          0.1 |          |                   |
| C2H5OOH         |            | C2H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.4E2 |          0.1 |          |                   |
| C2H6            |            | C2H6        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2CHOH         |            | C2H4O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E2 |          0.1 |          |                   |
| CH2CO           |            | C2H2O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
