0.00	727.48	417.68	5.63E-03	299.7	0.0
0.00	727.21	416.57	5.63E-03	299.7	0.0
0.00	727.21	416.57	5.52E-03	299.6	0.0
0.00	726.66	416.02	5.51E-03	299.5	0.0
0.00	726.38	415.19	5.51E-03	299.4	0.0
0.00	726.66	416.30	5.50E-03	299.4	0.0
0.00	725.83	417.40	5.50E-03	299.3	0.0
0.00	725.55	417.40	6.04E-03	299.3	0.0
0.00	725.28	416.57	6.04E-03	299.2	0.0
0.00	725.00	416.85	7.04E-03	299.2	0.0
0.00	725.00	415.74	6.78E-03	299.3	0.0
0.00	725.28	413.26	6.24E-03	299.3	0.0
0.00	725.00	412.71	5.69E-03	299.3	0.0
0.00	725.55	411.33	5.29E-03	299.4	0.0
0.00	725.55	409.95	5.06E-03	299.3	0.0
0.00	725.00	410.50	5.06E-03	299.1	0.0
0.00	725.55	410.22	5.20E-03	299.2	0.0
0.00	725.55	409.12	5.66E-03	299.2	0.0
0.00	724.72	408.29	6.89E-03	299.4	0.0
0.00	724.72	408.29	6.78E-03	299.7	0.0
0.00	725.00	406.91	5.93E-03	299.8	0.0
0.00	725.00	406.91	5.86E-03	299.8	0.0
0.00	724.17	408.01	5.66E-03	299.8	0.0
0.00	725.00	407.46	5.50E-03	299.6	0.0
0.00	725.00	407.19	5.56E-03	299.6	0.0
0.00	724.72	406.63	5.62E-03	299.5	0.0
0.00	723.90	406.36	5.86E-03	299.4	0.0
0.00	723.34	406.08	5.78E-03	299.5	0.0
0.00	723.34	404.98	5.63E-03	299.5	0.0
0.00	723.34	404.15	5.60E-03	299.5	0.0
0.00	722.51	403.87	5.70E-03	299.5	0.0
0.00	722.79	404.15	5.93E-03	299.6	0.0
0.00	723.07	403.60	6.14E-03	299.6	0.0
0.00	723.34	403.05	6.33E-03	299.5	0.0
0.00	723.34	403.60	6.93E-03	299.5	0.0
0.00	723.62	403.32	8.09E-03	299.7	0.0
0.00	724.17	402.22	7.45E-03	299.8	0.0
0.00	724.17	400.84	7.89E-03	299.8	0.0
0.00	724.45	399.18	8.80E-03	300.0	0.0
0.00	724.72	397.80	8.30E-03	300.1	0.0
0.00	723.62	397.52	9.01E-03	300.3	0.0
0.00	723.62	397.25	8.69E-03	300.6	0.0
0.00	723.90	397.25	8.93E-03	300.9	0.0
0.00	723.34	397.52	9.39E-03	301.2	0.0
0.00	723.34	396.70	9.40E-03	301.4	0.0
0.00	723.90	395.59	9.06E-03	301.7	0.0
0.00	724.72	395.59	9.21E-03	301.9	0.0
0.00	725.00	395.04	9.26E-03	302.0	0.0
0.00	724.72	395.04	9.19E-03	302.1	0.0
0.00	724.72	395.04	9.11E-03	302.2	0.0
0.00	724.45	395.59	8.93E-03	302.4	0.0
0.00	725.00	394.49	8.66E-03	302.4	0.0
0.00	725.55	392.00	8.48E-03	302.4	0.0
0.00	725.83	390.90	7.02E-03	302.3	0.0
0.00	726.38	388.41	7.69E-03	302.1	0.0
0.00	726.10	387.03	8.85E-03	302.2	0.0
0.00	726.10	386.48	9.15E-03	302.4	0.0
0.00	726.10	386.21	7.99E-03	302.3	0.0
0.00	725.83	386.21	5.45E-03	302.1	0.0
0.00	725.28	386.76	7.90E-03	301.9	0.0
0.00	725.00	387.59	9.16E-03	301.9	0.0
0.00	725.00	387.86	8.94E-03	302.0	0.0
0.00	724.45	387.59	7.56E-03	302.0	0.0
0.00	723.34	388.14	6.65E-03	301.9	0.0
0.00	723.34	388.14	7.95E-03	301.7	0.0
0.00	723.62	387.59	7.59E-03	301.8	0.0
0.00	724.17	385.65	6.09E-03	301.6	0.0
0.00	724.17	384.83	7.50E-03	301.8	0.0
0.00	725.00	383.45	5.57E-03	301.5	0.0
0.00	724.72	382.62	7.60E-03	301.4	0.0
0.00	724.45	381.51	9.02E-03	301.6	0.0
0.00	724.72	380.41	9.16E-03	302.0	0.0
0.00	724.17	380.41	7.24E-03	302.1	0.0
0.00	723.34	380.96	5.63E-03	301.9	0.0
0.00	723.34	380.41	7.58E-03	301.7	0.0
0.00	723.07	379.03	6.62E-03	301.6	0.0
0.00	722.79	378.20	7.50E-03	301.5	0.0
0.00	722.24	377.10	8.59E-03	301.7	0.0
0.00	722.24	375.99	7.19E-03	301.7	0.0
0.00	722.51	376.27	7.57E-03	301.6	0.0
0.00	722.79	375.44	4.68E-03	301.2	0.0
0.00	722.79	375.16	4.67E-03	301.0	0.0
0.00	722.24	375.99	7.26E-03	300.8	0.0
0.00	722.24	376.27	8.30E-03	300.8	0.0
0.00	723.62	375.44	8.87E-03	301.0	0.0
0.00	723.62	374.89	8.74E-03	301.2	0.0
0.00	723.34	375.16	8.53E-03	301.3	0.0
0.00	723.34	375.16	8.97E-03	301.7	0.0
0.00	722.24	375.72	8.81E-03	301.9	0.0
0.00	722.51	374.34	8.21E-03	302.0	0.0
0.00	721.96	373.78	8.80E-03	302.2	0.0
0.00	721.69	372.96	8.00E-03	302.2	0.0
0.00	720.86	373.23	7.66E-03	302.0	0.0
0.00	721.41	372.40	6.09E-03	301.8	0.0
0.00	721.69	370.47	5.88E-03	301.6	0.0
0.00	720.86	370.75	6.04E-03	301.4	0.0
0.00	720.58	370.19	6.14E-03	301.3	0.0
