1.70E+00	1.47E+11	3.00E+02	5.95E+10	9.10E+06	8.42E+06	1.31E+06
1.75E+00	1.41E+11	3.00E+02	5.80E+10	9.18E+06	8.51E+06	1.22E+06
1.80E+00	1.36E+11	3.00E+02	5.65E+10	9.25E+06	8.61E+06	1.14E+06
1.85E+00	1.31E+11	3.00E+02	5.50E+10	9.32E+06	8.69E+06	1.06E+06
1.90E+00	1.26E+11	3.00E+02	5.36E+10	9.38E+06	8.77E+06	9.84E+05
1.95E+00	1.21E+11	3.00E+02	5.22E+10	9.44E+06	8.85E+06	9.14E+05
2.00E+00	1.17E+11	3.00E+02	5.08E+10	9.49E+06	8.92E+06	8.50E+05
2.05E+00	1.12E+11	3.00E+02	4.94E+10	9.54E+06	8.98E+06	7.89E+05
2.10E+00	1.08E+11	3.00E+02	4.81E+10	9.59E+06	9.04E+06	7.32E+05
2.15E+00	1.03E+11	3.00E+02	4.68E+10	9.63E+06	9.10E+06	6.79E+05
2.20E+00	9.93E+10	3.00E+02	4.56E+10	9.67E+06	9.15E+06	6.29E+05
2.25E+00	9.53E+10	3.00E+02	4.43E+10	9.70E+06	9.20E+06	5.83E+05
2.30E+00	9.15E+10	3.00E+02	4.31E+10	9.74E+06	9.25E+06	5.39E+05
2.35E+00	8.78E+10	3.00E+02	4.19E+10	9.77E+06	9.29E+06	4.99E+05
2.40E+00	8.41E+10	3.00E+02	4.08E+10	9.80E+06	9.33E+06	4.62E+05
2.45E+00	8.07E+10	3.00E+02	3.97E+10	9.82E+06	9.37E+06	4.27E+05
2.50E+00	7.73E+10	3.00E+02	3.86E+10	9.84E+06	9.41E+06	3.94E+05
2.55E+00	7.41E+10	3.00E+02	3.75E+10	9.87E+06	9.44E+06	3.64E+05
2.60E+00	7.09E+10	3.00E+02	3.65E+10	9.88E+06	9.47E+06	3.36E+05
2.65E+00	6.79E+10	3.00E+02	3.55E+10	9.90E+06	9.50E+06	3.10E+05
2.70E+00	6.50E+10	3.00E+02	3.45E+10	9.92E+06	9.52E+06	2.86E+05
