# -*- org -*-
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| basename        | subname | refspec | medium  | R_vini     | I_force_init | I_advect | I_convect | I_vdiff | I_wetdep | I_drydep | I_sedi | I_scav | I_mix | I_force_col | I_integrate | I_timefilter | I_method | S_model  | I_mode     | I_sol |
| HOCH2OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCH2OH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3NO3          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3ONO          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3O2NO2        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH2OO           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH2OOA          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOCH2O2NO2      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CN              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NCO             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HCN             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| C2H2            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C2H4            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C2H5O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C2H5OH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C2H5OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C2H6            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CHO          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3CO2H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3CO3          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CO3H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ETHGLY          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ETHOHNO3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| GLYOX           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCO2H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCO           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HCOCO3          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HCOCO3H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCH2CH2O       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        |        |       |             |             |              |          |          |            |       |
| HOCH2CH2O2      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        |        |       |             |             |              |          |          |            |       |
| HOCH2CHO        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCH2CO2H       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCH2CO3        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOCH2CO3H       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HYETHO2H        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PAN             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PHAN            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCH2O2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOOCH2CO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOCH2CO         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOCHCHO         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOOCH2CO2H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOOCH2CO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOOCH2CHO       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH2CO           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3CHOHO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CHOHOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NO3CH2CHO       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NO3CH2CO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NO3CH2PAN       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C2H5NO3         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C2H5O2NO2       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3CO           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NCCH2O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CN           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH2CHOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| ACETOL          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C3H6            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C3H8            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3COCH2O2      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3COCH3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCH2COCHO      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HYPERACET       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HYPROPO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HYPROPO2H       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| IC3H7NO3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| IC3H7O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| IC3H7OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| IPROPOL         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NPROPOL         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MGLYOX          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NOA             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PR2O2HNO3       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PRONO3BO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CHOCOCH2O2      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HCOCH2CO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ALCOCH2OOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCH2CHO       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCH2CO2H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCH2CO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOC2H4CO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOC2H4CO2H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOC2H4CO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCH2COCH2O2    |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HOCH2COCH2OOH   |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3CHCO         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3COCO2H       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3COCO3H       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3COCO3        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HCOCOCH2OOH     |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C3PAN2          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C3PAN1          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3COCH2O2NO2   |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PROPOLNO3       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| C2H5CHO         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PROPENOL        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C2H5CO3         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| PROPACID        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PERPROACID      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NC3H7NO3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| NC3H7OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NC3H7O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| PPN             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C5DICARBO2      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| MCOCOMOOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C33CO           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
