in_O2_a	    1	1.72E+10
in_OHm_a	2	7.20E+04
in_Hp_a	    3	4.55E+08
in_O3_a	    4	0.00E+00
in_O2m_a	5	0.00E+00
in_Clm_a	6	1.12E+10
in_Fe3p_a	7	1.66E+07
in_HSO4m_a	8	0.00E+00
in_SO4mm_a	9	6.87E+08
in_H2SO4_a	10	0.00E+00
in_NH4p_a	11	2.17E+09
in_HCO3m_a	12	3.20E+07
in_NO3m_a	13	6.87E+08
in_DOC_a	14	3.32E+09
